Id,Transaction ID,Customer ID,Customer Name,Bank Name,Transaction Amount (EUR),Merchant Name,Merchant Type,Transaction Country,Transaction Type
0,62f21ef7-314c-4da0-b8ed-6b94295c17ab,a1e49058-af4d-42c2-8463-1e3877507eab,Stacy Armstrong Kuvalis,Unknown Bank,696393.98,Amos Kunze Strosin,Online Services,Ireland,MAGNETIC STRIPE
1,88b375dd-9ca3-40c3-95b5-5e5ac777c90c,7f793e70-5d88-4e30-b456-47086fc032f2,Lloyd Hilll Welch,Shady Bank,296387.93,Milagro Hane Funk,Clothing,New Caledonia,CHIP AND PIN
2,23c1339b-049e-4484-b269-16beb1c032e9,f3bb8a84-5388-4467-995a-9b7b291edccf,Elma Dickinson Grimes,Shady Bank,116136.78,Fabian Smith Frami V,Health Care,Monaco,ECOM
3,99e46665-f3e7-4916-a23a-d9e5c4fd2d79,11e98bd5-ede8-4639-8287-4ae0b378818f,Elfriede Champlin Nitzsche,Archaic Small Time Bank,430554.16,Concepcion Bayer Fay,Fuel,Norway,CONTACTLESS
4,e6fea300-a50d-41e2-8c67-439a4623235b,70dc1e47-5f18-4d2e-b1e4-d35a422aabeb,Sherie Nitzsche Cassin DVM,Archaic Big Bank,137418.44,Amos Kunze Strosin,Online Services,Gambia,MAGNETIC STRIPE
5,a71d1c66-998f-4046-b354-622ff83fd229,d05f790a-3f43-49d8-b4d3-5868d7c70427,Pedro Rath Parisian,Unknown Bank,893794.58,Milagro Hane Funk,Clothing,Saint Barthélemy,CHIP AND PIN
6,4406b6d9-a532-47df-99ce-938ebdaa698d,eb39a2ae-b8ad-4670-969d-28df20a1f301,Palma Crist Conn,Unknown Bank,765255.31,Ellyn Tillman Gulgowski III,Supermarket,Qatar,MAGNETIC STRIPE
7,72a37ce3-e356-4b6b-9144-c71cc0bf76c9,469c0ebe-5ffe-4766-8907-cc4b1f15356b,Shanna Welch Goldner,Challenger Bank,194006.02,Cher McDermott Prosacco,Fast Food,Namibia,CHIP AND PIN
8,1394d698-e0e0-49ed-b115-62d0aefb57d2,70dc1e47-5f18-4d2e-b1e4-d35a422aabeb,Sherie Nitzsche Cassin DVM,Archaic Big Bank,-137418.44,Amos Kunze Strosin,Online Services,Gambia,MAGNETIC STRIPE
9,041e9e23-4f0f-49dd-89d1-0422f992cba3,f3bb8a84-5388-4467-995a-9b7b291edccf,Elma Dickinson Grimes,Shady Bank,-116136.78,Fabian Smith Frami V,Health Care,Monaco,ECOM
